WordLength,NumGames,AvgRounds,AvgTime
3,5,64.8,0.00456475
3,10,45.9,0.00267339
3,20,30.3,0.00257479
4,5,6.6,0.0044118
4,10,24.2,0.00398419
4,20,17.45,0.00511217
5,5,5.4,0.00638619
5,10,6.6,0.00740461
5,20,11.5,0.00943957
6,5,7.2,0.0175249
6,10,6,0.00952525
6,20,5.5,0.0107845
7,5,4,0.00908531
7,10,4.9,0.0186302
7,20,5.65,0.0141193
8,5,4.6,0.0122112
8,10,4.4,0.0137395
8,20,9.1,0.0131373
9,5,5.4,0.0250646
9,10,4.3,0.0182736
9,20,3.9,0.0141242
10,5,3.6,0.0129186
10,10,3.5,0.0138178
10,20,3.55,0.0149222
11,5,2.8,0.00978962
11,10,3.4,0.0123472
11,20,7.95,0.0119232
12,5,2.8,0.0116779
12,10,3,0.0113099
12,20,3.1,0.0111771
13,5,2.6,0.0105872
13,10,2.6,0.0111224
13,20,2.5,0.0103687
14,5,2.2,0.00973316
14,10,2.6,0.0103495
14,20,2.35,0.00884667
15,5,1.8,0.0074683
15,10,1.8,0.00809704
15,20,2.05,0.00855109
16,5,1.2,0.00554603
16,10,1.8,0.00867087
16,20,1.85,0.0085037
17,5,1.4,0.00655211
17,10,1.6,0.00747652
17,20,1.55,0.00727515
18,5,1,0.00459203
18,10,1,0.00462923
18,20,1,0.00472427
19,5,1,0.00479035
19,10,1,0.00480328
19,20,1,0.00464808
20,5,1,0.00460271
20,10,1,0.00464586
20,20,1,0.00469405
